acc,disp_imp,stat_par,zero_one_loss
0.671957671957672,0.1977124183006536,-0.23869713174526008,-0.12190082644628097
0.656084656084656,0.10049261083743842,-0.3086544962812711,-0.1686950642325895
0.6984126984126984,0.23460410557184752,-0.2636363636363636,-0.18787878787878787
0.6507936507936508,0.1689189189189189,-0.29285714285714287,-0.09285714285714275
0.6613756613756614,0.11345939933259178,-0.2694388100067613,-0.1801893171061527
0.6808510638297872,0.11056376573617953,-0.36986457266416295,-0.08057357459883918
0.675531914893617,0.09740259740259741,-0.3159090909090909,-0.22545454545454546
0.7021276595744681,0.152276295133438,-0.3058796873229863,-0.06616064348023121
0.7287234042553191,0.12359550561797752,-0.31869254341164455,-0.10974917716490751
0.6702127659574468,0.14457831325301207,-0.285140562248996,-0.051176133103843946
