acc,disp_imp,stat_par,zero_one_loss
[0.5737439222042139],[0.6539482822010704],[0.09049053540144425],[0.09005255736444051]
[0.6158833063209076],[0.6240913221263062],[0.06998900308759463],[0.03972634606437431]
[0.5769854132901134],[0.4930721452460583],[0.10168029644773831],[0.08858292869920781]
[0.5948136142625607],[0.7144530046224962],[0.04877355511106431],[0.04891041162227605]
[0.5818476499189628],[0.8201084773001205],[0.01925599397914203],[0.14962907214278032]
[0.5721231766612642],[0.4033657745336578],[0.1565512544955417],[0.021259390095975772]
[0.6126418152350082],[0.4760770975056689],[0.09732313978222869],[0.051220488195278135]
[0.5957792207792207],[0.875230627306273],[0.01157281138028772],[0.1551205946842077]
[0.6152597402597403],[0.5286205817954331],[0.1603805712826189],[0.04561321357115489]
[0.6038961038961039],[0.5020781941675396],[0.15569691142129566],[0.02641617092319226]
