acc,disp_imp,stat_par,zero_one_loss
[0.29955947136563876],[0.7064102564102565],[0.025753486279802063],[0.116312415654521]
[0.32648066568771417],[0.8850109675846941],[0.007106063800945868],[0.12378226948218218]
[0.3245227606461087],[0.8495145631067962],[0.009554630913854209],[0.12438999332203216]
[0.30641213901125797],[0.6094388703084356],[0.028207192699946315],[0.09841653247450355]
[0.3103279490944689],[0.9480185280494081],[-0.002455150955321117],[0.11243456982190025]
[0.3225648556045032],[0.9765625],[-0.0010000000000000009],[0.046638095238095256]
[0.3088595203132648],[0.6051364365971108],[0.03630929318647257],[0.08632682053836649]
[0.3188050930460333],[0.733652312599681],[0.023160668469592957],[0.08986563906472367]
[0.32125367286973555],[0.5019400900201769],[0.05759876509970743],[0.1629135031321236]
[0.3109696376101861],[0.5247412555715042],[0.044063724648999616],[0.06405034653517361]
