acc,disp_imp,stat_par,zero_one_loss
[0.4580745341614907],[0.7695497630331753],[-0.021288705493471102],[0.10329126670534028]
[0.4472049689440994],[0.6149497487437187],[-0.03461125853989046],[0.007227146970809062]
[0.4642857142857143],[0.9371610845295055],[0.004170724478130168],[0.026781555659059153]
[0.4658385093167702],[0.4304608671938914],[-0.047987776156612254],[0.04370253782613198]
[0.45962732919254656],[0.6378640776699029],[-0.03307177372877598],[0.01915148290996138]
[0.4363354037267081],[0.603041952197894],[-0.027285364704801078],[0.023769860873361526]
[0.44565217391304346],[0.8146718146718147],[-0.006148328423209941],[0.11641262115195761]
[0.4813664596273292],[0.962937062937063],[0.0023618538324420638],[0.008600713012477779]
[0.4525660964230171],[0.915798611111111],[0.006384939441811482],[0.059899947340705695]
[0.4727838258164852],[0.39933750460066253],[-0.03598438912530593],[0.14753158556214585]
