acc,disp_imp,stat_par,zero_one_loss
[0.39864864864864863],[0.3626373626373627],[-0.10139860139860139],[0.01486013986014001]
[0.36486486486486486],[0.3170454545454545],[0.11749755620723365],[-0.030889540566959917]
[0.32432432432432434],[0.2660818713450292],[0.04839020628494313],[-0.09947946790052065]
[0.3945578231292517],[0.3764705882352941],[0.06495098039215687],[-0.003676470588235281]
[0.4013605442176871],[0.8061749571183534],[0.022681653954235242],[-0.1850662384584505]
[0.30612244897959184],[0.47058823529411764],[0.0661764705882353],[-0.1384803921568628]
[0.38095238095238093],[0.65],[0.038461538461538464],[-0.125]
[0.2857142857142857],[0.2728592162554426],[0.10056202328382177],[-0.004215174628663276]
[0.38095238095238093],[0.8591065292096219],[-0.016907216494845362],[-0.09237113402061847]
[0.42857142857142855],[0.5156249999999999],[0.03914141414141415],[-0.017676767676767624]
