acc,disp_imp,stat_par,zero_one_loss
[0.24014221073044603],[0.997489671277169],[-0.002500089448638554],[0.19027961644423774]
[0.2427278603749192],[0.9993227226549272],[0.0006772773450728353],[0.18000927053387228]
[0.24854557207498384],[0.9986403806934059],[0.0013596193065941176],[0.20603599413216944]
[0.28474466709760826],[0.9888398122615649],[-0.010761206321816541],[0.18388433533341186]
[0.24854557207498384],[0.9790583329571153],[-0.020877275172920262],[0.17411095131227128]
[0.28539107950872655],[0.9701630158523754],[0.029331272551902154],[0.23679037165728278]
[0.24305106658047834],[1.0],[0.0],[0.17060898340045572]
[0.2727860374919198],[0.9883300268409383],[0.011392116655274509],[0.22550694919115966]
[0.2979961215255333],[0.9881755619301578],[-0.011288611745041921],[0.19479926714023987]
[0.2828054298642534],[0.9843068919362578],[0.015128607773679525],[0.19065113391520283]
