acc,disp_imp,stat_par,zero_one_loss
[0.465],[0.8191721132897605],[0.011542205534696141],[0.19065498539841463]
[0.42],[0.6492374727668845],[-0.04237399657849718],[0.0900118436636399]
[0.415],[0.6277173913043478],[-0.03867871259175608],[0.08723884810841331]
[0.465],[0.850632911392405],[0.017781796262808916],[-0.07444243520192895]
[0.3768844221105528],[0.24833333333333335],[-0.06053691275167784],[-0.0041610738255033475]
[0.40703517587939697],[0.4533715925394548],[-0.05881444890398271],[0.05186786045075642]
[0.39195979899497485],[0.9019607843137255],[0.010656436487638532],[-0.1405228758169934]
[0.3869346733668342],[0.9566326530612245],[-0.004625850340136059],[-0.028163265306122454]
[0.40703517587939697],[0.580392156862745],[-0.056703762586115536],[-0.006359300476947438]
[0.457286432160804],[0.6622807017543859],[-0.0424944812362031],[-0.056291390728476776]
